Productivity module,Prod bonus,Quality module,Qual bonus,E_out,n_p,n_q
T1Q1,0.04,T1Q1,0.010,0.03041974851,3,1
T1Q1,0.04,T1Q2,0.013,0.03067741497,3,1
T1Q1,0.04,T1Q3,0.016,0.03109942560,0,4
T1Q1,0.04,T1Q4,0.019,0.03235993036,0,4
T1Q1,0.04,T1Q5,0.025,0.03518941340,0,4
T1Q1,0.04,T2Q1,0.020,0.03280183142,0,4
T1Q1,0.04,T2Q2,0.026,0.03570486971,0,4
T1Q1,0.04,T2Q3,0.032,0.03909075585,0,4
T1Q1,0.04,T2Q4,0.038,0.04302955719,0,4
T1Q1,0.04,T2Q5,0.050,0.05283873241,0,4
T1Q1,0.04,T3Q1,0.025,0.03518941340,0,4
T1Q1,0.04,T3Q2,0.032,0.03909075585,0,4
T1Q1,0.04,T3Q3,0.040,0.04447725513,0,4
T1Q1,0.04,T3Q4,0.047,0.05012407467,0,4
T1Q1,0.04,T3Q5,0.062,0.06566371244,0,4
T1Q2,0.05,T1Q1,0.010,0.03145645854,3,1
T1Q2,0.05,T1Q2,0.013,0.03172204425,3,1
T1Q2,0.05,T1Q3,0.016,0.03199134160,3,1
T1Q2,0.05,T1Q4,0.019,0.03235993036,0,4
T1Q2,0.05,T1Q5,0.025,0.03518941340,0,4
T1Q2,0.05,T2Q1,0.020,0.03280183142,0,4
T1Q2,0.05,T2Q2,0.026,0.03570486971,0,4
T1Q2,0.05,T2Q3,0.032,0.03909075585,0,4
T1Q2,0.05,T2Q4,0.038,0.04302955719,0,4
T1Q2,0.05,T2Q5,0.050,0.05283873241,0,4
T1Q2,0.05,T3Q1,0.025,0.03518941340,0,4
T1Q2,0.05,T3Q2,0.032,0.03909075585,0,4
T1Q2,0.05,T3Q3,0.040,0.04447725513,0,4
T1Q2,0.05,T3Q4,0.047,0.05012407467,0,4
T1Q2,0.05,T3Q5,0.062,0.06566371244,0,4
T1Q3,0.06,T1Q1,0.010,0.03250800388,3,1
T1Q3,0.06,T1Q2,0.013,0.03278156417,3,1
T1Q3,0.06,T1Q3,0.016,0.03305894638,3,1
T1Q3,0.06,T1Q4,0.019,0.03334033349,3,1
T1Q3,0.06,T1Q5,0.025,0.03518941340,0,4
T1Q3,0.06,T2Q1,0.020,0.03343505070,3,1
T1Q3,0.06,T2Q2,0.026,0.03570486971,0,4
T1Q3,0.06,T2Q3,0.032,0.03909075585,0,4
T1Q3,0.06,T2Q4,0.038,0.04302955719,0,4
T1Q3,0.06,T2Q5,0.050,0.05283873241,0,4
T1Q3,0.06,T3Q1,0.025,0.03518941340,0,4
T1Q3,0.06,T3Q2,0.032,0.03909075585,0,4
T1Q3,0.06,T3Q3,0.040,0.04447725513,0,4
T1Q3,0.06,T3Q4,0.047,0.05012407467,0,4
T1Q3,0.06,T3Q5,0.062,0.06566371244,0,4
T1Q4,0.07,T1Q1,0.010,0.03357470525,3,1
T1Q4,0.07,T1Q2,0.013,0.03385629539,3,1
T1Q4,0.07,T1Q3,0.016,0.03414181852,3,1
T1Q4,0.07,T1Q4,0.019,0.03443146331,3,1
T1Q4,0.07,T1Q5,0.025,0.03518941340,0,4
T1Q4,0.07,T2Q1,0.020,0.03452896001,3,1
T1Q4,0.07,T2Q2,0.026,0.03570486971,0,4
T1Q4,0.07,T2Q3,0.032,0.03909075585,0,4
T1Q4,0.07,T2Q4,0.038,0.04302955719,0,4
T1Q4,0.07,T2Q5,0.050,0.05283873241,0,4
T1Q4,0.07,T3Q1,0.025,0.03518941340,0,4
T1Q4,0.07,T3Q2,0.032,0.03909075585,0,4
T1Q4,0.07,T3Q3,0.040,0.04447725513,0,4
T1Q4,0.07,T3Q4,0.047,0.05012407467,0,4
T1Q4,0.07,T3Q5,0.062,0.06566371244,0,4
T1Q5,0.10,T1Q1,0.010,0.03686909466,3,1
T1Q5,0.10,T1Q2,0.013,0.03717510472,3,1
T1Q5,0.10,T1Q3,0.016,0.03748538577,3,1
T1Q5,0.10,T1Q4,0.019,0.03780014399,3,1
T1Q5,0.10,T1Q5,0.025,0.03844391270,3,1
T1Q5,0.10,T2Q1,0.020,0.03790609383,3,1
T1Q5,0.10,T2Q2,0.026,0.03855314331,3,1
T1Q5,0.10,T2Q3,0.032,0.03922082684,3,1
