Productivity module,Prod bonus,Quality module,Qual bonus,E_out,n_p,n_q
T1Q1,0.04,T1Q1,0.010,0.19406481843030066380,0,4
T1Q2,0.05,T1Q2,0.013,0.20632386441073966629,0,4
T1Q3,0.06,T1Q3,0.016,0.21851578579472641839,0,4
T1Q4,0.07,T1Q4,0.019,0.23064113238967527061,0,4
T1Q5,0.10,T1Q5,0.025,0.25802821777893187916,1,3
T2Q1,0.06,T2Q1,0.020,0.23466821435480750629,0,4
T2Q2,0.07,T2Q2,0.026,0.25867774955745401370,0,4
T2Q3,0.09,T2Q3,0.032,0.28242813947257626211,0,4
T2Q4,0.11,T2Q4,0.038,0.30592355717983858688,0,4
T2Q5,0.15,T2Q5,0.050,0.35983730076081496636,1,3
T3Q1,0.10,T3Q1,0.025,0.25802821777893187916,1,3
T3Q2,0.13,T3Q2,0.032,0.29151532445276272693,2,2
T3Q3,0.16,T3Q3,0.040,0.33197873557975401611,2,2
T3Q4,0.19,T3Q4,0.047,0.37225400712540533510,2,2
T3Q5,0.25,T3Q5,0.062,0.46341411587212205565,2,2
